Date,F,SOL,REDU
11/6/2018,9.54,1.67,
11/7/2018,9.6,1.7,
11/8/2018,9.46,1.59,
11/9/2018,9.38,1.63,
11/12/2018,9.49,1.63,
11/13/2018,9.54,1.62,
11/14/2018,9.54,1.65,
11/15/2018,9.31,1.66,
11/16/2018,9.05,1.67,
11/19/2018,9.25,1.62,
11/20/2018,9.06,1.52,
11/21/2018,9.11,1.52,
11/23/2018,9.13,1.5,
11/26/2018,9.4,1.56,
11/27/2018,9.28,1.7,
11/28/2018,9.41,1.74,
11/29/2018,9.37,1.7,
11/30/2018,9.41,1.7,
12/3/2018,9.6,1.66,
12/4/2018,9.18,1.4,
12/6/2018,9.02,1.53,
12/7/2018,8.82,1.58,
12/10/2018,8.52,1.51,
12/11/2018,8.54,1.51,
12/12/2018,8.64,1.46,
12/13/2018,8.5,1.47,
12/14/2018,8.52,1.42,
12/17/2018,8.5,1.34,
12/18/2018,8.47,1.35,
12/19/2018,8.32,1.38,
12/20/2018,8.26,1.33,
12/21/2018,8.05,1.31,
12/24/2018,7.63,1.22,
12/26/2018,7.85,1.21,
12/27/2018,7.85,1.17,
12/28/2018,7.81,1.16,
12/31/2018,7.65,1.19,
1/2/2019,7.9,1.25,
1/3/2019,7.78,1.25,
1/4/2019,8.08,1.33,
1/7/2019,8.29,1.36,
1/8/2019,8.37,1.36,
1/9/2019,8.72,1.35,
1/10/2019,8.67,1.46,
1/11/2019,8.82,1.46,
1/14/2019,8.99,1.56,
1/15/2019,8.84,1.67,
1/16/2019,8.29,1.62,
1/17/2019,8.36,1.59,
1/18/2019,8.58,1.55,
1/22/2019,8.5,1.52,
1/23/2019,8.34,1.5,
1/24/2019,8.6,1.72,
1/25/2019,8.86,1.75,
1/28/2019,8.66,1.72,
1/29/2019,8.76,1.74,
1/30/2019,8.71,1.7,
1/31/2019,8.8,1.77,
2/1/2019,8.72,1.77,
2/4/2019,8.7,1.81,
2/5/2019,8.75,1.7,
2/6/2019,8.72,1.77,
2/7/2019,8.31,1.74,
2/8/2019,8.39,1.68,
2/11/2019,8.33,1.66,
2/12/2019,8.46,1.7,
2/13/2019,8.41,1.65,
2/14/2019,8.42,1.68,
2/15/2019,8.54,1.7,
2/19/2019,8.83,1.71,
2/20/2019,8.94,1.8,
2/21/2019,8.71,1.78,
2/22/2019,8.71,1.94,
2/25/2019,8.76,2.08,
2/26/2019,8.88,2,
2/27/2019,8.78,2.04,
2/28/2019,8.77,2.03,
3/1/2019,8.79,1.92,
3/4/2019,8.81,1.98,
3/5/2019,8.77,2.01,
3/6/2019,8.58,1.86,
3/7/2019,8.48,1.79,
3/8/2019,8.42,1.84,
3/11/2019,8.61,1.8,
3/12/2019,8.57,1.73,
3/13/2019,8.53,1.78,
3/14/2019,8.41,1.83,
3/15/2019,8.43,1.84,
3/18/2019,8.57,1.8,
3/19/2019,8.7,1.77,
3/20/2019,8.51,1.78,
3/21/2019,8.69,1.71,
3/22/2019,8.54,1.7,
3/25/2019,8.51,1.68,
3/26/2019,8.76,1.65,
3/27/2019,8.62,1.68,
3/28/2019,8.77,1.67,
3/29/2019,8.78,1.69,
4/1/2019,8.98,1.74,
4/2/2019,9.01,1.71,
4/3/2019,9.13,1.68,
4/4/2019,9.24,1.61,
4/5/2019,9.25,1.68,
4/8/2019,9.3,1.65,
4/9/2019,9.21,1.68,
4/10/2019,9.33,1.69,
4/11/2019,9.39,1.67,
4/12/2019,9.45,1.64,
4/15/2019,9.33,1.62,
4/16/2019,9.36,1.64,
4/17/2019,9.5,1.63,
4/18/2019,9.55,1.67,
4/22/2019,9.35,1.6,
4/23/2019,9.5,1.62,
4/24/2019,9.57,1.6,
4/25/2019,9.4,1.63,
4/26/2019,10.41,1.55,
4/29/2019,10.32,1.49,
4/30/2019,10.45,1.6,
5/1/2019,10.3,1.54,
5/2/2019,10.34,1.46,
5/3/2019,10.41,1.5,
5/6/2019,10.37,1.48,
5/7/2019,10.38,1.46,
5/8/2019,10.34,1.49,
5/9/2019,10.2,1.46,
5/10/2019,10.38,1.48,
5/13/2019,10.08,1.46,
5/14/2019,10.24,1.48,
5/15/2019,10.36,1.49,
5/16/2019,10.4,1.45,
5/17/2019,10.29,1.46,
5/20/2019,10.28,1.45,
5/21/2019,10.24,1.47,
5/22/2019,9.97,1.42,
5/23/2019,9.85,1.4,
5/24/2019,9.83,1.35,
5/28/2019,9.78,1.28,
5/29/2019,9.71,1.27,
5/30/2019,9.74,1.27,
5/31/2019,9.52,1.26,
6/3/2019,9.61,1.28,
6/4/2019,9.92,1.32,
6/5/2019,9.78,1.31,
6/6/2019,9.75,1.31,
6/7/2019,9.76,1.27,
6/10/2019,9.82,1.27,
6/11/2019,9.92,1.31,
6/12/2019,9.85,1.26,
6/13/2019,10.06,1.27,
6/14/2019,9.98,1.3,
6/17/2019,10.05,1.29,
6/18/2019,10.1,1.29,
6/19/2019,10.04,1.28,
6/20/2019,10.04,1.27,
6/21/2019,9.99,1.26,
6/24/2019,9.95,1.28,
6/25/2019,9.84,1.27,
6/26/2019,9.91,1.39,
6/27/2019,10.2,1.27,
6/28/2019,10.23,1.28,
7/1/2019,10.15,1.26,
7/2/2019,10.12,1.27,
7/3/2019,10.2,1.3,
7/5/2019,10.2,1.29,
7/8/2019,10.2,1.41,
7/9/2019,10.14,1.33,
7/10/2019,10.11,1.24,
7/11/2019,10.19,1.29,
7/12/2019,10.49,1.25,
7/15/2019,10.42,1.29,
7/16/2019,10.51,1.25,
7/17/2019,10.33,1.26,
7/18/2019,10.26,1.18,
7/19/2019,10.2,1.18,
7/22/2019,10.02,1.12,
7/23/2019,10.17,1.1,
7/24/2019,10.33,1.09,
7/25/2019,9.56,1.06,
7/26/2019,9.57,1.08,
7/29/2019,9.6,1.05,
7/30/2019,9.55,1.07,
7/31/2019,9.53,1.08,
8/1/2019,9.31,1.1,
8/2/2019,9.28,1.06,
8/5/2019,9.23,1.01,
8/6/2019,9.48,0.98,
8/7/2019,9.53,0.9,
8/8/2019,9.56,0.96,
8/9/2019,9.45,0.98,
8/12/2019,9.29,1,
8/13/2019,9.26,0.98,
8/14/2019,9,0.96,
8/15/2019,8.86,0.86,
8/16/2019,8.96,0.9,
8/19/2019,9.03,0.93,
8/20/2019,8.96,0.96,
8/21/2019,9.04,0.94,
8/22/2019,9.04,0.92,
8/23/2019,8.77,0.91,
8/26/2019,8.82,0.95,
8/27/2019,8.76,0.94,
8/28/2019,9,0.94,
8/29/2019,9.12,0.95,
8/30/2019,9.17,0.96,
9/3/2019,9.1,1.03,
9/4/2019,9.2,0.99,
9/5/2019,9.34,1.05,
9/6/2019,9.34,1.01,
9/9/2019,9.54,1.03,
9/10/2019,9.42,1.04,
9/11/2019,9.42,1,
9/12/2019,9.41,1.04,
9/13/2019,9.45,1.06,
9/16/2019,9.3,1.22,
9/17/2019,9.28,1.17,
9/18/2019,9.25,1.29,
9/19/2019,9.1,1.56,
9/20/2019,9.17,1.88,
9/23/2019,9.16,1.9,
9/24/2019,9.11,1.8,
9/25/2019,9.2,1.8,
9/26/2019,9.14,1.74,
9/27/2019,9.08,1.58,
